Keyword,Count
community,5769
council,3524
local,2904
years,1525
support,1381
vote,1353
services,1319
work,1238
ward,1153
residents,1116
councillor,918
better,915
business,907
1,882
people,877
needs,861
need,783
ensure,770
experience,729
committed,723
rates,719
make,718
future,705
roads,689
public,683
advocate,653
businesses,647
issues,644
family,637
facilities,628
city,607
infrastructure,592
voice,590
believe,589
together,584
ensuring,578
shire,572
elected,572
government,570
new,561
live,557
also,554
strong,553
health,551
including,541
want,540
living,538
resident,533
working,531
focus,508
housing,497
development,495
continue,489
like,487
safety,483
parks,482
candidate,477
bring,475
time,470
place,469
supporting,459
management,458
spaces,450
change,447
many,446
children,444
lived,443
life,441
member,438
independent,427
area,409
represent,403
small,401
families,397
running,394
improve,391
get,388
improving,385
safe,384
environment,381
build,379
care,375
sustainable,373
understand,371
road,365
making,363
passionate,361
sporting,361
communities,359
everyone,357
first,355
dedicated,353
home,351
proud,351
cost,347
worked,340
name,337
help,336
planning,335
must,335
school,331
challenges,329
2,329
back,325
fight,324
best,322
us,322
growth,322
youth,322
state,317
social,315
every,312
transparency,311
vibrant,306
hard,304
leadership,303
decisions,301
groups,299
two,298
open,297
concerns,296
park,296
listen,295
projects,294
create,291
opportunities,289
climate,289
priorities,289
service,284
would,279
action,278
sports,271
love,270
rate,267
centre,267
see,264
rubbish,264
greater,262
volunteer,259
young,259
know,259
essential,258
let,257
transport,256
within,255
heard,255
involved,255
always,254
financial,252
keep,251
advocating,250
commitment,250
inclusive,250
green,248
affordable,246
past,242
active,241
well,241
political,241
mayor,241
value,240
safer,238
areas,235
funding,234
vision,233
footpaths,232
skills,231
positive,230
one,230
put,230
streets,230
important,229
great,228
3,228
street,228
serve,225
background,222
deliver,221
ratepayers,221
since,220
election,219
integrity,217
waste,217
role,215
current,215
money,215
thrive,214
education,214
diverse,214
governance,214
protect,214
across,213
club,212
clubs,212
key,210
building,210
address,209
councillors,209
please,208
initiatives,208
